row;value_x;value_y;value_z
1;20655019;71216799;73104154
2;36846250;10662654;35805190
3;82878348;45756465;67182195
4;92540697;74939439;19243807
5;12663;19534914;5330982
6;21557541;94400179;88478320
7;60678152;24774881;16650991
8;31102118;8286904;9938985
9;65591257;5691018;96481390
10;52967425;55896157;64441179
11;6391877;18748309;74345565
12;4464504;4298104;4642343
13;22326214;58221805;30128073
14;71287417;48502432;57550859
15;36075658;58711774;54195437
16;96096767;66166418;47594843
17;51858027;75259787;24127233
18;93852099;12376130;13483004
19;92219277;62350846;9857376
20;97311265;20030571;8943835
21;32391478;96126631;39626493
22;73473765;34152654;16759810
23;80525329;43539153;55603386
24;59542311;41935372;66202206
25;28108542;59628798;21966826
26;22986648;35505815;82920284
27;11786027;45014879;90276762
28;61722103;20786604;82550325
29;70740782;27624244;46346909
30;9377702;7615615;8515458
31;55022037;16904303;68179201
32;27431107;86517722;21659785
33;94471524;1867148;88310603
34;5381641;88656966;92145783
35;84425133;2793307;60824388
36;84113016;37155532;34622154
37;55594543;58674037;77664049
38;35321802;61956472;90752207
39;61019862;30647969;86541389
40;67542642;58033450;732926
41;85660614;56156055;27897465
42;71699941;38722824;11465495
43;21986824;65917605;2977615
44;81079550;98324456;87702983
45;76752969;25768699;39617006
46;40042072;13743147;59724018
47;16707610;87043024;65519414
48;3737931;28588950;59962364
49;22012636;2069329;44017312
50;54861401;1284102;42766798
51;86402986;39100333;16543856
52;19875416;88911859;13489433
53;1132229;51414054;54222157
54;55568845;24384466;36758025
55;67025653;74433638;89582254
56;3223165;69056349;74871410
57;85536438;42808885;68115695
58;66117584;42942223;97028424
59;65752286;54258979;90986388
60;19404423;96557312;36017850
61;34072352;88448186;98344746
62;95765301;28695931;60949583
63;85889818;4562877;13357521
64;73697106;54410588;31906074
65;21074184;62148042;20170777
66;78563112;20387818;30361304
67;59754576;60678721;42985562
68;11171344;84817637;64844637
69;82302123;4528589;22911225
70;1053077;4612161;41538487
71;60130876;90755664;97179114
72;87223524;26947911;3100672
73;9883942;25209604;64506476
74;22805589;9146256;66561623
75;20084258;73606899;41979356
76;38609500;53755050;4027094
77;39488894;72763073;16480528
78;79773474;21826358;7399994
79;46866565;35683906;2296710
80;47099946;27484570;83623555
81;33526995;28900737;92195162
82;38070009;52665924;14724696
83;55912976;52437555;58921552
84;13945633;35690282;25696447
85;4622420;8592354;13023659
86;24465257;78541958;89823524
87;32202630;52854147;47978405
88;79905957;39521221;75074438
89;44104755;45521371;83389354
90;9015096;93171006;85810704
91;1777757;74038111;39151292
92;30752923;4467144;86302777
93;15832899;92923168;16699433
94;31166836;147724;78922110
95;48875943;82416171;41179763
96;70246445;89803296;62222381
97;17081605;26759020;2963517
98;3490779;5019726;82789425
99;4052080;90320340;84212880
100;32207591;44451473;97453726
101;16485030;53216483;72781651
102;78499463;94153900;72016962
103;60767848;45205203;79634865
104;53495826;25812535;53261508
105;66086040;68810853;46253444
106;15940445;12607116;91375179
107;81584993;91036772;45225628
108;93005157;10783871;40623194
109;86788366;25501047;39154698
110;32494331;96109815;41916121
111;80098603;80710589;24254537
112;18925763;83899318;44059892
113;54678398;23704668;60011779
114;84544793;89833830;47720089
115;79524833;61953255;57645352
116;17105499;25858144;73116243
117;54869316;5764927;80869705
118;5980444;48127989;12139449
119;56511443;10805539;97905859
120;73590704;29655219;23295469
121;22536405;90020189;74557196
122;45045736;15550077;35606244
123;1507799;97836135;41119183
124;12284982;11442776;44420880
125;26817529;8793520;47941528
126;22342434;4147944;34951993
127;5035332;8750667;98701029
128;98589311;20368748;91363977
129;49183020;5593660;3489602
130;87776616;64716799;1837051
131;64579134;60733242;17548419
132;79850260;87766095;43011279
133;37999021;89464453;69811385
134;73423489;25326463;98763994
135;56638225;42949582;36163004
136;38326812;55745144;52111486
137;84596988;6586143;5455344
138;68261190;63728292;16367062
139;81091924;71649412;28891124
140;93009248;50805537;26157689
141;18252510;5506287;51048072
142;80759858;45372341;20806015
143;16690095;73307999;92688551
144;40762854;41384502;59047612
145;8374472;32211155;14371145
146;17037212;75100117;96037266
147;76312992;29724261;49010282
148;9547666;45169981;86095781
149;7969886;47333949;9974428
150;97423517;67567833;18608725
151;5002291;17004224;4480477
152;37344043;64661086;78750096
153;50408772;79514630;26301430
154;25875769;10641572;36937818
155;63938024;62934860;50319529
156;20886896;59093523;35212687
157;5497576;65269813;55265308
158;6199080;37166489;60485490
159;24944416;39116590;54973206
160;47176753;93386062;46111613
161;24719725;45062550;33945498
162;6889947;79619847;66916131
163;11415947;57006349;8095991
164;51763639;33820177;70588080
165;76002945;96093872;81678921
166;6943410;65290528;84272824
167;92655733;78077383;97813578
168;6199984;33271781;2755252
169;76417808;49879734;36714058
170;39440319;60901053;14018070
171;23264936;72288298;20342510
172;88871369;77826938;67105394
173;30115774;82835532;71870939
174;82834778;19578249;83187708
175;60220645;81513266;51754625
176;42573530;73720598;95090085
177;18554403;79621595;35381076
178;18463910;93897772;3441930
179;34281225;22357802;49544399
180;17556059;67008080;12689273
181;24050556;72862752;92882973
182;53079248;85768178;81706713
183;26176673;79146132;73532667
184;33388451;24485594;93870753
185;43577542;4436042;91123455
186;9297509;92481289;29670005
187;17834386;77801220;72216734
188;49532823;3538480;22085970
189;37241701;53997562;85478654
190;98772017;21400339;42321690
191;3893286;62736909;10810317
192;29345559;65740668;95631968
193;25441372;60337260;13786941
194;34030041;34398559;68394068
195;95679177;62994299;92421121
196;86146652;37318548;41517136
197;98434158;28694299;84527849
198;1923606;20610377;81276668
199;9363994;68565266;73851108
200;25703186;64462407;94296658
201;51270531;82802366;65367361
202;88059015;21953699;17545165
203;19228479;83225045;66062675
204;91437179;46394927;30766741
205;80728855;51716114;11887911
206;6745804;62471033;4368268
207;21214167;26220272;88284958
208;95730134;58003653;43250790
209;80710855;48776474;10976606
210;57483405;16289497;30971138
211;46902607;2708252;58267460
212;1117398;64308593;64574020
213;35141713;35140425;2122722
214;69490677;40474945;2693384
215;63030399;80002378;64796629
216;47070527;43169634;81688776
217;22842627;32198249;54405842
218;40109249;39838994;84542627
219;90147775;91500367;73361321
220;51577200;23986251;49943607
221;1610768;962930;90954607
222;19149337;85304051;8169645
223;44098755;90570188;79171170
224;66024150;68552587;42974611
225;4964282;45214644;32008577
226;47219711;72335082;52704117
227;80181711;23885173;63940029
228;12591703;49563866;56242929
229;9775614;22244130;57020439
